Store,Address,state,address,geocoded,latitude,longitude
PERNIAGAAN NAZILI,"LOT 246, KAMPUNG MERKANG 16800 PASIR PUTEH KELANTAN",KELANTAN,"PERNIAGAAN NAZILI, LOT 246, KAMPUNG MERKANG 16800 PASIR PUTEH KELANTAN, MALAYSIA",,,
PASARAYA ECONO BATU LINTANG,"LOT 27397B, KAMPUNG BUKIT SUNGAI PASIR 08000 SUNGAI PETANI KEDAH",KEDAH,"PASARAYA ECONO BATU LINTANG, LOT 27397B, KAMPUNG BUKIT SUNGAI PASIR 08000 SUNGAI PETANI KEDAH, MALAYSIA",,,
SING KWONG SUPERMARKET (BATU 8),"SUBLOT 61-63 OF LOT 341, BLOCK 33 AND LOT 1337 BOTH OF KEMENA LAND DISTRICT, 97000 BINTULU 97000 BINTULU SARAWAK",SARAWAK,"SING KWONG SUPERMARKET (BATU 8), SUBLOT 61-63 OF LOT 341, BLOCK 33 AND LOT 1337 BOTH OF KEMENA LAND DISTRICT, 97000 BINTULU 97000 BINTULU SARAWAK, MALAYSIA",,,
99 SPEEDMART SDN BHD (TMN MEGAH RIA 2) - 3015,"NO : 27 & 29 (GROUND FLOOR), JALAN KEMPAS 17 TAMAN MEGAH RIA KAMPUNG MASJID LAMA 81750 MASAI JOHOR",JOHOR,"99 SPEEDMART SDN BHD (TMN MEGAH RIA 2) - 3015, NO : 27 & 29 (GROUND FLOOR), JALAN KEMPAS 17 TAMAN MEGAH RIA KAMPUNG MASJID LAMA 81750 MASAI JOHOR, MALAYSIA",,,
PASARAYA MILLENNIUM (MANTIN) SDN BHD,"5G,7G,9G,11G JALAN BESAR MANTIN 71700 MANTIN NEGERI SEMBILAN",NEGERI SEMBILAN,"PASARAYA MILLENNIUM (MANTIN) SDN BHD, 5G,7G,9G,11G JALAN BESAR MANTIN 71700 MANTIN NEGERI SEMBILAN, MALAYSIA",,,
M&M GROCER,"LOT 4490, TINGKAT BAWAH BLOCK 6, LAWAS LAND DISTRICT, JALAN PULAU SALAM, 98850 LAWAS 98850 LAWAS SARAWAK",SARAWAK,"M&M GROCER, LOT 4490, TINGKAT BAWAH BLOCK 6, LAWAS LAND DISTRICT, JALAN PULAU SALAM, 98850 LAWAS 98850 LAWAS SARAWAK, MALAYSIA",,,
ECONO JAYA TAMAN KELADI,"NO.32,33,34 LORONG TEJA 10 TAMAN KELADI 08000 SUNGAI PETANI KEDAH",KEDAH,"ECONO JAYA TAMAN KELADI, NO.32,33,34 LORONG TEJA 10 TAMAN KELADI 08000 SUNGAI PETANI KEDAH, MALAYSIA",,,
TF VALUE-MART SDN BHD (TELUK INTAN-2),TF VALUE MART SDN BHD (TELUK INTAN-2) PT NO.25581 TAMAN MELOR 3 JALAN SUNGAI MANIK 36000 TELUK INTAN PERAK,PERAK,"TF VALUE-MART SDN BHD (TELUK INTAN-2), TF VALUE MART SDN BHD (TELUK INTAN-2) PT NO.25581 TAMAN MELOR 3 JALAN SUNGAI MANIK 36000 TELUK INTAN PERAK, MALAYSIA",,,
99 SPEEDMART SDN BHD (TMN PERLING JB 2 ) - 2279,"NO: 6 & 8 (GROUND FLOOR), JALAN PERSISIRAN PERLING, TAMAN PERLING, 81200 SKUDAI JOHOR",JOHOR,"99 SPEEDMART SDN BHD (TMN PERLING JB 2 ) - 2279, NO: 6 & 8 (GROUND FLOOR), JALAN PERSISIRAN PERLING, TAMAN PERLING, 81200 SKUDAI JOHOR, MALAYSIA",,,
MYDIN WHOLESALE HYPERMARKET TUNJONG,LOT PT 666 JALAN KUALA KRAI BANDAR BARU TUNJUNG 16010 KOTA BHARU KELANTAN,KELANTAN,"MYDIN WHOLESALE HYPERMARKET TUNJONG, LOT PT 666 JALAN KUALA KRAI BANDAR BARU TUNJUNG 16010 KOTA BHARU KELANTAN, MALAYSIA",,,
TSB SUPERSTORE (JALAN PEGAWAI),"1492-1500, TAMAN SULTAN BADLISHAH, JALAN PEGAWAI, 05050 ALOR SETAR, KEDAH 05050 ALOR SETAR KEDAH",KEDAH,"TSB SUPERSTORE (JALAN PEGAWAI), 1492-1500, TAMAN SULTAN BADLISHAH, JALAN PEGAWAI, 05050 ALOR SETAR, KEDAH 05050 ALOR SETAR KEDAH, MALAYSIA",,,
SEGI FRESH SERI ISKANDAR,"NO. 6-G, 7-G, 8-G, & 9-G JALAN ISKANDAR BISTARI 2 TAMAN ISKANDAR BISTARI 32610 SERI ISKANDAR PERAK",PERAK,"SEGI FRESH SERI ISKANDAR, NO. 6-G, 7-G, 8-G, & 9-G JALAN ISKANDAR BISTARI 2 TAMAN ISKANDAR BISTARI 32610 SERI ISKANDAR PERAK, MALAYSIA",,,
ENG HOCK TONG TRADING,"NO. 9, JALAN PRIMA 2 PUSAT PERNIAGAAN SERAI PRIMA 34300 BAGAN SERAI PERAK",PERAK,"ENG HOCK TONG TRADING, NO. 9, JALAN PRIMA 2 PUSAT PERNIAGAAN SERAI PRIMA 34300 BAGAN SERAI PERAK, MALAYSIA",,,
SERVAY EXPRESS - SELKN,"LOT NO. A & B, KG LIMAUAN KINARUT JALAN PAPAR LAMA 89500 PAPAR SABAH",SABAH,"SERVAY EXPRESS - SELKN, LOT NO. A & B, KG LIMAUAN KINARUT JALAN PAPAR LAMA 89500 PAPAR SABAH, MALAYSIA",,,
SEGI FRESH NIBONG TEBAL,NO. 2G & 6G LORONG SERI EMAS INDAH 2 TAMAN SERI EMAS INDAH 14300 NIBONG TEBAL PENANG,PENANG,"SEGI FRESH NIBONG TEBAL, NO. 2G & 6G LORONG SERI EMAS INDAH 2 TAMAN SERI EMAS INDAH 14300 NIBONG TEBAL PENANG, MALAYSIA",,,
99 SPEEDMART SDN BHD (PP BUKIT GAMBIR) - 1829,NO: 35 & 37 PUSAT PERDAGANGAN 1 BUKIT GAMBIR 84800 LEDANG JOHOR,JOHOR,"99 SPEEDMART SDN BHD (PP BUKIT GAMBIR) - 1829, NO: 35 & 37 PUSAT PERDAGANGAN 1 BUKIT GAMBIR 84800 LEDANG JOHOR, MALAYSIA",,,
99 SPEEDMART SDN BHD (LINTANG BESTARI) - 2202,NO : 4 & 6 (GROUND FLOOR) LINTANG BESTARI 1 PUSAT BANDAR FASA 2 34200 PARIT BUNTAR PERAK,PERAK,"99 SPEEDMART SDN BHD (LINTANG BESTARI) - 2202, NO : 4 & 6 (GROUND FLOOR) LINTANG BESTARI 1 PUSAT BANDAR FASA 2 34200 PARIT BUNTAR PERAK, MALAYSIA",,,
BATARAS SUPERSTORE KUDAT TAMAN ORKID,"SHOP 1-5, TMN. ORKID, P.O BOX 77 89057 KUDAT SABAH",SABAH,"BATARAS SUPERSTORE KUDAT TAMAN ORKID, SHOP 1-5, TMN. ORKID, P.O BOX 77 89057 KUDAT SABAH, MALAYSIA",,,
HAJAH WAN YUNAH MINI MART,"NO. 46, JALAN BESAR, 36100 BAGAN DATUK PERAK",PERAK,"HAJAH WAN YUNAH MINI MART, NO. 46, JALAN BESAR, 36100 BAGAN DATUK PERAK, MALAYSIA",,,
CKS GROCER - HILLTOP,"LOT 4, (DBKK NO.1-0-5), GROUND FLOOR, KOLAM CENTRE PHASE 3 JALAN LINTAS 88300 LUYANG SABAH",SABAH,"CKS GROCER - HILLTOP, LOT 4, (DBKK NO.1-0-5), GROUND FLOOR, KOLAM CENTRE PHASE 3 JALAN LINTAS 88300 LUYANG SABAH, MALAYSIA",,,
BORONG DIN AS CASH & CARRY SDN. BHD. (TMN PERTIWI INDAH),"NO. 2, 4, & 6 TAMAN PERTIWI INDAH JALAN KANGAR-ALOR SETAR 01000 KANGAR PERLIS",PERLIS,"BORONG DIN AS CASH & CARRY SDN. BHD. (TMN PERTIWI INDAH), NO. 2, 4, & 6 TAMAN PERTIWI INDAH JALAN KANGAR-ALOR SETAR 01000 KANGAR PERLIS, MALAYSIA",,,
TUNAS MANJA SUPERMARKET SDN BHD (JERANTUT),"LOT PT9344, HADAPAN RHB BANK JALAN TAHAN 27000 JERANTUT PAHANG",PAHANG,"TUNAS MANJA SUPERMARKET SDN BHD (JERANTUT), LOT PT9344, HADAPAN RHB BANK JALAN TAHAN 27000 JERANTUT PAHANG, MALAYSIA",,,
99 SPEEDMART SDN BHD (TAMAN UNIVERSITI BATU PAHAT) - 2196,NO: 13 & 14 (GROUND FLOOR) JALAN UNIVERSITI 2 TAMAN UNIVERSITI 86400 PARIT RAJA JOHOR,JOHOR,"99 SPEEDMART SDN BHD (TAMAN UNIVERSITI BATU PAHAT) - 2196, NO: 13 & 14 (GROUND FLOOR) JALAN UNIVERSITI 2 TAMAN UNIVERSITI 86400 PARIT RAJA JOHOR, MALAYSIA",,,
GOH BROTHERS MINI MARKET,"JA 5006, JA 5007 TAMAN SRI SUNGAI RAMBAI 77400 SUNGAI RAMBAI MELAKA",MELAKA,"GOH BROTHERS MINI MARKET, JA 5006, JA 5007 TAMAN SRI SUNGAI RAMBAI 77400 SUNGAI RAMBAI MELAKA, MALAYSIA",,,
ECONSAVE CASH & CARRY (KG) SDN BHD (KAMUNTING),LOT 5830 JALAN PER SATU KAWASAN PERUSAHAAN KAMUNTING 34600 KAMUNTING PERAK,PERAK,"ECONSAVE CASH & CARRY (KG) SDN BHD (KAMUNTING), LOT 5830 JALAN PER SATU KAWASAN PERUSAHAAN KAMUNTING 34600 KAMUNTING PERAK, MALAYSIA",,,
FRESH 365 - TANJUNG BUNGAH,"2E, JALAN TANJUNG BUNGAH, 11200 TANJUNG BUNGAH, PULAU PINANG 11200 TANJUNG BUNGAH PENANG",PENANG,"FRESH 365 - TANJUNG BUNGAH, 2E, JALAN TANJUNG BUNGAH, 11200 TANJUNG BUNGAH, PULAU PINANG 11200 TANJUNG BUNGAH PENANG, MALAYSIA",,,
96 MINI MARKET - BATU 39,"NO. 1 JALAN PERPADUAN 1/1, TAMAN PERPADUAN 45200 SABAK BERNAM SELANGOR",SELANGOR,"96 MINI MARKET - BATU 39, NO. 1 JALAN PERPADUAN 1/1, TAMAN PERPADUAN 45200 SABAK BERNAM SELANGOR, MALAYSIA",,,
BILLION SHOPPING CENTRE (SEBERANG JAYA) SDN BHD,"PLOT 7 & 8, MUKIM 1, JALAN TODAK 3, PUSAT BANDAR SEBERANG JAYA 13700 SEBERANG PERAITENGAH PENANG",PENANG,"BILLION SHOPPING CENTRE (SEBERANG JAYA) SDN BHD, PLOT 7 & 8, MUKIM 1, JALAN TODAK 3, PUSAT BANDAR SEBERANG JAYA 13700 SEBERANG PERAITENGAH PENANG, MALAYSIA",,,
GMART BINTANGOR,LOT 921 BINATANG TOWN DISTRICT & LOT 274 BINATANG TOWN DISTRICT 96500 BINTANGOR SARAWAK,SARAWAK,"GMART BINTANGOR, LOT 921 BINATANG TOWN DISTRICT & LOT 274 BINATANG TOWN DISTRICT 96500 BINTANGOR SARAWAK, MALAYSIA",,,
99 SPEEDMART SDN BHD (KUALA KANGSAR) - 2387,"NO: 282 & 283 (G), LALUAN MERANTI TMN KUALA KANGSAR 33000 TMN KUALA KANGSAR PERAK",PERAK,"99 SPEEDMART SDN BHD (KUALA KANGSAR) - 2387, NO: 282 & 283 (G), LALUAN MERANTI TMN KUALA KANGSAR 33000 TMN KUALA KANGSAR PERAK, MALAYSIA",,,
ECONSAVE CASH & CARRY (KBS) SDN BHD (KAMPUNG BARU SUBANG),"LOT 3761, JALAN 2D KAMPUNG BARU SUBANG, SEKSYEN U6 40150 SHAH ALAM SELANGOR",SELANGOR,"ECONSAVE CASH & CARRY (KBS) SDN BHD (KAMPUNG BARU SUBANG), LOT 3761, JALAN 2D KAMPUNG BARU SUBANG, SEKSYEN U6 40150 SHAH ALAM SELANGOR, MALAYSIA",,,
HELYN ENTERPRISE - SAPULUT,KG. LOTONG TALANGKAI 89957 SAPULUT SABAH,SABAH,"HELYN ENTERPRISE - SAPULUT, KG. LOTONG TALANGKAI 89957 SAPULUT SABAH, MALAYSIA",,,
ZULFIA SUPERSTORE SDN BHD,"LOT NO 5,6,7 & 8 LIGHT INDUSTRIAL BANDAR EMAS INDUSTRI PETI SURAT 976 89808 BEAUFORT 89808 BEAUFORT SABAH",SABAH,"ZULFIA SUPERSTORE SDN BHD, LOT NO 5,6,7 & 8 LIGHT INDUSTRIAL BANDAR EMAS INDUSTRI PETI SURAT 976 89808 BEAUFORT 89808 BEAUFORT SABAH, MALAYSIA",,,
BATARAS CASH & CARRY TAMPARULI,"TL 45,COMMERCIAL,JLN PADANG 89250 TAMPARULI SABAH",SABAH,"BATARAS CASH & CARRY TAMPARULI, TL 45,COMMERCIAL,JLN PADANG 89250 TAMPARULI SABAH, MALAYSIA",,,
