area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female
state,Johor,-139959.0,-177624.0,-171301.0,-171217.0,-174638.0,-214664.0,-232321.0,-211206.0,-157888.0,-129415.0,-93255.0,-94889.0,-63469.0,-49570.0,-31624.0,-15275.0,-8978.0,-4014.0,143447.0,167580.0,159399.0,156402.0,144987.0,164895.0,167526.0,161005.0,136588.0,110579.0,89670.0,90086.0,64189.0,49732.0,30595.0,15079.0,10345.0,6259.0
state,Kedah,-78154.0,-119697.0,-110063.0,-98402.0,-78005.0,-74132.0,-103651.0,-87885.0,-75732.0,-62880.0,-49009.0,-53473.0,-36205.0,-27938.0,-17238.0,-8264.0,-4629.0,-1929.0,77995.0,115664.0,101416.0,90846.0,76097.0,67269.0,83602.0,82841.0,74287.0,58979.0,51819.0,55222.0,38977.0,30850.0,18214.0,9928.0,6629.0,3506.0
state,Kelantan,-71369.0,-104694.0,-99967.0,-104583.0,-84328.0,-67763.0,-61550.0,-55609.0,-44839.0,-41865.0,-39031.0,-40325.0,-31347.0,-22405.0,-16021.0,-8327.0,-3939.0,-2101.0,70347.0,98039.0,92679.0,102608.0,87289.0,62374.0,56653.0,51845.0,43360.0,44730.0,43098.0,43177.0,34919.0,24345.0,17010.0,10204.0,6111.0,3650.0
state,Melaka,-44931.0,-40574.0,-35931.0,-54323.0,-48950.0,-44481.0,-61686.0,-40396.0,-43542.0,-22881.0,-19973.0,-20955.0,-16797.0,-12914.0,-8485.0,-4278.0,-2544.0,-1301.0,42120.0,37662.0,32735.0,48249.0,42503.0,39902.0,40108.0,33952.0,39881.0,23201.0,20707.0,21487.0,17251.0,14482.0,9033.0,4810.0,3388.0,2015.0
state,Negeri Sembilan,-45461.0,-60389.0,-49932.0,-52369.0,-51896.0,-54453.0,-61361.0,-56338.0,-40062.0,-32532.0,-25938.0,-31342.0,-22149.0,-18409.0,-11364.0,-5393.0,-3237.0,-1349.0,48031.0,54880.0,43383.0,47265.0,48894.0,46825.0,49315.0,46286.0,36283.0,30281.0,27896.0,31619.0,23530.0,18341.0,11496.0,5762.0,3823.0,2090.0
state,Pahang,-54385.0,-85984.0,-84417.0,-82330.0,-66520.0,-69506.0,-75126.0,-76680.0,-63658.0,-47157.0,-35864.0,-34011.0,-24644.0,-19249.0,-13333.0,-6497.0,-3470.0,-1320.0,53972.0,80760.0,77030.0,74626.0,55692.0,51756.0,58567.0,60517.0,56457.0,41881.0,33781.0,32694.0,24952.0,19850.0,12630.0,6111.0,3993.0,1875.0
state,Perak,-84371.0,-112644.0,-104005.0,-115898.0,-118430.0,-107511.0,-106645.0,-105998.0,-90440.0,-67427.0,-62648.0,-67371.0,-53801.0,-43148.0,-30078.0,-15740.0,-9496.0,-4587.0,79816.0,103624.0,94163.0,106571.0,101578.0,79875.0,83257.0,86338.0,77770.0,67928.0,66039.0,70713.0,57884.0,47240.0,33628.0,18529.0,12806.0,8044.0
state,Perlis,-7825.0,-10107.0,-12334.0,-19413.0,-16043.0,-11051.0,-10120.0,-9866.0,-12675.0,-5664.0,-5994.0,-6272.0,-5016.0,-4111.0,-2881.0,-1577.0,-933.0,-463.0,7349.0,9283.0,11373.0,17652.0,16280.0,9809.0,9491.0,9453.0,13248.0,7424.0,6530.0,6719.0,5508.0,5204.0,3150.0,1880.0,1291.0,896.0
state,Pulau Pinang,-53495.0,-80934.0,-65587.0,-61843.0,-62313.0,-84783.0,-94998.0,-90957.0,-66389.0,-56520.0,-40638.0,-48592.0,-31278.0,-25403.0,-15522.0,-7685.0,-3903.0,-1714.0,50365.0,71542.0,56192.0,55608.0,65984.0,78454.0,87680.0,79882.0,63064.0,52077.0,42787.0,50829.0,32543.0,26929.0,16496.0,8823.0,5260.0,3336.0
state,Sabah,-144124.0,-210782.0,-180487.0,-165063.0,-150672.0,-152847.0,-147296.0,-144453.0,-120852.0,-103889.0,-88148.0,-67054.0,-45624.0,-26719.0,-15138.0,-8379.0,-4945.0,-3334.0,137592.0,196840.0,165503.0,151034.0,139424.0,143423.0,137010.0,137211.0,112509.0,95024.0,74409.0,55115.0,39168.0,23097.0,14083.0,8067.0,5524.0,3946.0
